Citizenship,Admission_Status,Outstanding_Loans,Academic_Performance,Field_of_Study,Year_of_Study,Family_Income,Number_of_Dependents,Orphan,Parents_Disability,Eligible
1,1,0,3.5702347736696463,Humanities,4,305738.256035054,4,1,0,1
1,1,0,3.146937359079944,Business,3,161214.99075530283,2,0,0,1
1,1,0,3.8146493075176475,Business,4,242202.3692065116,2,0,0,1
1,1,0,3.8555705442309764,Health Sciences,3,195446.15881536558,0,0,0,1
1,1,0,2.006749921571663,Business,1,154270.42266709986,5,0,0,0
1,1,0,5.0,Health Sciences,1,191903.3137024605,1,1,0,1
1,1,1,2.85829139639556,STEM,1,169735.17298959297,3,0,0,0
1,1,0,3.858447487578338,STEM,4,331926.1901382725,3,0,0,1
1,1,0,3.2736930490175182,STEM,4,296811.4090263976,4,0,0,1
1,1,0,3.6652403717310995,STEM,3,209367.658849627,3,0,0,1
0,1,0,3.1877739671146745,Humanities,4,247511.6237302025,3,0,0,0
1,1,1,4.236792276826685,STEM,3,341300.7119273817,2,0,0,0
1,1,0,2.782948688084983,Business,3,345221.72222088545,1,0,0,1
1,1,0,4.0168654486925135,Humanities,3,341135.17209515,3,0,0,1
1,1,0,2.5432955273184645,Humanities,1,224777.585880475,3,0,0,1
1,1,0,3.548385868566369,STEM,3,219660.61105662773,3,0,0,1
1,1,0,2.806585891287797,STEM,2,321059.27843150776,4,0,0,1
1,1,0,3.85659378219106,Business,2,88740.43863205776,3,0,0,1
1,1,0,3.671052560637081,Business,4,365101.31925363786,3,0,0,1
1,1,0,3.7625347358920953,Health Sciences,2,268891.48780038784,5,0,0,1
1,1,0,3.365155957147883,STEM,3,142194.80175376113,3,0,0,1
1,1,0,3.3675697482176403,Health Sciences,1,334382.9367790261,4,0,0,1
1,1,0,3.432326542609785,STEM,1,226501.46599418018,5,0,0,1
1,1,1,2.912998097153315,STEM,2,219700.2880996366,1,0,0,0
1,1,0,4.787953547860354,Business,4,416557.65015262435,1,0,0,1
1,1,0,3.1016729672933634,STEM,2,437783.27752426855,7,0,0,1
1,1,0,3.2998952982046754,STEM,1,134175.15941626075,3,0,0,1
1,1,1,3.660394857041517,Health Sciences,3,307697.36927949375,1,0,0,0
1,1,0,3.276014360274542,Business,1,195067.39491338356,1,1,0,1
0,1,0,3.6427819012366944,Health Sciences,3,176415.31260756176,2,0,0,0
1,1,0,2.574345216238987,Humanities,3,670526.7016509043,1,0,0,0
1,1,0,3.4818285583165345,Business,4,515471.45031631435,3,0,0,0
1,1,1,3.030063083889143,STEM,1,87330.59619960729,2,0,0,0
1,1,0,3.7010135073665325,STEM,4,277264.4378270739,0,0,0,1
1,1,1,4.2642837505134885,STEM,4,276553.97819414776,5,0,0,0
1,1,0,4.446040401776084,Health Sciences,2,574535.1767442124,7,0,0,0
1,0,0,3.273780526449044,Humanities,2,194148.85638879804,3,0,0,0
1,1,1,2.2461178548986256,STEM,3,211289.68886313462,1,0,0,0
1,1,1,3.663852720286479,STEM,4,356576.63393146556,2,1,0,0
1,1,0,3.3137161809101388,Business,3,173834.00381318954,2,0,0,1
1,1,0,3.0311647949985367,Business,4,701035.5518879499,3,0,0,0
1,1,0,3.629060374876291,Business,2,200456.56173857095,7,0,0,1
0,0,0,3.60500745186052,Business,2,314047.38243212755,2,0,0,0
1,1,0,3.8575458709835106,STEM,4,191650.8079769085,3,0,0,1
1,1,0,3.246634727961615,STEM,1,269652.5029901179,3,0,0,1
1,1,0,3.1990097673423534,STEM,1,165077.85731925003,5,0,0,1
1,1,0,3.1853298980183573,Health Sciences,4,104926.43467401521,2,0,0,1
1,1,0,3.1610873750911153,STEM,1,193125.54548330564,3,0,0,1
1,1,0,3.837990065729508,Health Sciences,2,237859.09465190428,8,0,0,1
1,1,0,3.101198725231782,STEM,1,273246.4733438939,3,0,0,1
1,1,0,2.783847973466122,Business,2,196630.12568630575,4,0,0,1
1,1,0,3.7454774294609012,STEM,2,328459.809352368,3,0,0,1
1,1,0,3.723543509018077,Health Sciences,1,295787.3808204734,0,0,0,1
1,1,1,4.456288360052995,Business,3,107011.200710377,3,0,0,0
1,1,0,4.740862437637479,Humanities,4,367232.9829626933,3,0,0,1
1,1,0,4.259619769021688,Health Sciences,2,462462.22503271134,3,1,0,1
1,1,0,3.8356603362900596,Business,4,147245.45953479968,2,1,0,1
1,1,0,3.4899461890055843,Humanities,2,267802.95566900296,3,0,0,1
0,1,0,3.119552840321922,Health Sciences,1,413012.49071539845,4,0,0,0
1,1,0,4.612488331325458,Health Sciences,1,216321.2541476008,2,0,0,1
1,1,1,3.695259773912016,Health Sciences,1,200449.37146454092,3,0,0,0
1,1,0,4.225916350457794,Humanities,3,217617.83184151648,4,0,0,1
1,1,0,3.4743967706253414,STEM,3,587987.3331403547,3,0,0,0
1,0,0,3.7558024503400014,Humanities,1,429963.9295343765,0,0,0,0
1,1,1,3.596005504129513,Humanities,1,538419.3782387391,4,0,0,0
1,1,0,3.1646783501880145,STEM,1,372148.9553956868,1,0,1,1
1,1,0,3.773506243553372,Humanities,4,392117.6667530473,4,0,0,1
1,1,0,4.6282840653792094,STEM,2,270205.33062825113,2,0,1,1
1,1,1,3.236893676003681,STEM,3,95322.96349386874,2,0,0,0
1,1,0,3.394399779974617,Business,2,254717.76792043837,7,1,0,1
1,1,0,2.5826337614249533,Business,3,626254.7100213538,2,0,0,0
1,0,1,3.8079556763069413,Health Sciences,1,233268.01237828285,4,0,0,0
0,1,0,3.798341758016566,Business,2,254116.69544954444,2,0,0,0
1,0,0,3.7828417304555058,Health Sciences,1,294020.78807946556,2,0,0,0
1,1,0,3.3643645947203824,STEM,1,71291.4103693236,4,0,0,1
1,1,0,3.301983180428859,STEM,1,302356.46481925,4,0,0,1
1,0,0,3.595340331117349,Humanities,3,205328.4104288294,5,0,0,0
1,1,0,3.7603960100773355,Humanities,2,178804.85009845294,5,0,0,1
1,1,0,3.4936991160071664,Business,4,163687.07512201698,4,0,0,1
1,1,0,3.2635149579177445,STEM,2,134393.26344212954,1,0,0,1
1,1,0,2.706735345491233,STEM,1,166133.83214512147,1,0,0,1
1,1,1,3.9856579195179274,Humanities,2,333130.9712214454,2,0,0,0
1,1,0,3.56736045216776,Humanities,1,108576.43177594284,4,0,0,1
1,1,0,2.7909717271486647,Humanities,2,158875.61409230172,3,0,0,1
1,1,0,3.811945595873953,Humanities,1,497542.5312821794,2,0,0,1
1,1,0,3.8314394976693724,Business,1,124509.52708875304,1,0,0,1
1,1,0,3.2573461427380743,STEM,3,449933.54338179674,1,0,0,1
1,1,0,2.9792551835464938,Humanities,2,236233.66446555612,4,0,0,1
1,1,1,4.023063454363818,Health Sciences,2,130945.62971790107,3,0,0,0
1,1,0,3.2552702211184155,Business,3,242407.59676374044,4,0,1,1
1,1,0,2.3224899996199904,Health Sciences,3,290709.4605991727,7,0,0,0
1,1,1,3.4647648822751367,STEM,2,100638.78328534213,0,0,0,0
1,1,0,3.5710657884225445,STEM,4,306837.74928144994,3,0,0,1
1,1,0,3.555471653180839,Humanities,3,207545.9417898295,1,0,0,1
1,1,0,3.14215608785023,Health Sciences,2,108022.28673546584,2,0,0,1
1,1,0,3.5291864172629643,STEM,3,306685.15829669347,4,0,0,1
1,1,0,3.8517821721623346,Health Sciences,3,99818.90677469391,1,0,0,1
1,1,1,2.432571055430059,STEM,1,419113.30946840404,2,1,0,0
0,0,0,3.772006854530425,Humanities,3,414930.42507104797,1,0,0,0
1,1,0,3.9245258185017704,STEM,1,242452.65917618584,2,0,0,1
0,1,1,3.3298420639449313,STEM,2,241192.31278676257,4,0,0,0
1,1,0,2.829940991830527,STEM,4,140346.30763833845,4,0,0,1
